Nom;Reference;Categorie;Prix;Prix promo;Stock;Description;Couleur;Dimensions;Image
Colle thermofusible APEL pour plaqueuse de chants — BK 539 / BK 511;APEL-HOTMELT-BK539-BK511;Plaqueuse de chants et colle;295.000;;11;"<div class=""ck-content""><p>Colle thermofusible APEL pour plaqueuse de chants — BK 539 / BK 511</p><p>&nbsp;</p><p>Colle thermofusible APEL pour le placage de chants en atelier. Deux options sont disponibles :</p><p>&nbsp;</p><p>• BK 539 : adaptée aux plaqueuses de chants à vitesse faible à moyenne et aux chants en PVC, mélaminé, bois et ABS. Formulation granulée pour application manuelle ou semi-automatique selon l’équipement.</p><p>&nbsp;</p><p>• BK 511 : adhésif EVA pour plaqueuses de chants droites et lignes rapides. La colle est blanc laiteux à l’application puis devient transparente. Compatible avec les chants PVC, acrylique, mélaminé, stratifié, ABS et bois massif. Température de travail indicative : 170–190 °C selon la machine.</p><p>&nbsp;</p><p>Choisir la référence correspondant à votre machine et au matériau de chant. Utiliser le produit selon les recommandations du fabricant.</p><p>&nbsp;</p><p>لاصق حراري منصهر APEL لآلة تلصيق الحواف — BK 539 / BK 511</p><p>&nbsp;</p><p>لاصق حراري منصهر من APEL مخصص لتلصيق حواف الألواح في الورشة. يتوفر بخيارين:</p><p>&nbsp;</p><p>• BK 539: مناسب لآلات تلصيق الحواف ذات السرعة المنخفضة إلى المتوسطة، ولحواف PVC والميلامين والخشب وABS. تركيبة حبيبية للاستعمال اليدوي أو شبه الآلي حسب التجهيزات.</p><p>&nbsp;</p><p>• BK 511: لاصق EVA مخصص لآلات تلصيق الحواف المستقيمة وخطوط الإنتاج السريعة. يكون أبيض حليبياً أثناء التطبيق ثم يصبح شفافاً. مناسب لحواف PVC والأكريليك والميلامين واللامينيت وABS والخشب الصلب. درجة حرارة التشغيل الإرشادية: 170–190 °م حسب الآلة.</p><p>&nbsp;</p><p>اختر المرجع المناسب لآلتك ولمادة الحافة، واستعمل المنتج وفق توصيات الشركة المصنّعة.</p></div>";;;https://cdn.converty.shop/images/025b13805595dc2fc102c7c6ac5c2ff473751ed461704dae15a93635e71871a8_lg.webp
Plaqueuse de chants ZICAR MF3000 — 4 opérations pour panneaux et MDF — 220 V, 1200 W;ZICAR-MF3000;Plaqueuse de chants et colle;3500.000;;0;"<h2>Plaqueuse de chants ZICAR MF3000 — 4 opérations</h2>
<p><strong>Référence :</strong> ZICAR MF3000.</p>
<p>Plaqueuse de chants de table destinée au travail des panneaux et du MDF. La machine regroupe quatre opérations : <strong>collage, coupe, arasage et nettoyage/polissage</strong>. Elle convient aux chants droits ou courbes lorsque le chant, le panneau et les réglages utilisés sont compatibles.</p>
<p><strong>Caractéristiques visibles et recoupées :</strong> alimentation 220 V / 50–60 Hz, puissance totale 1200 W, largeur de chant indiquée 7–60 mm, épaisseur de panneau indiquée 10–60 mm, vitesse d’avance réglable de 0 à 6 m/min, température de chauffe réglable de 120 à 200 °C, capacité du bac de colle 1000 ml, temps de chauffe annoncé de 5 à 8 minutes, poids net annoncé 46 kg et dimensions indiquées 1070 × 490 × 490 mm.</p>
<p><strong>Fonctions :</strong> collage du chant, coupe en bout, arasage et nettoyage/polissage pour obtenir une finition propre sur les panneaux de menuiserie. Les réglages doivent être adaptés au type de chant, à l’épaisseur du panneau et à la colle utilisée.</p>
<p><strong>Important :</strong> les caractéristiques sont indiquées d’après les visuels fournis et le recoupement de la configuration 1200 W. Vérifier la notice, la tension, la colle, la température, la vitesse et les réglages avant utilisation. Produit actuellement affiché avec un stock de 0 pièce.</p>
<hr><h3>التفاصيل بالعربية</h3><div dir=""rtl"" lang=""ar""><p><strong>ماكينة تلبيس الحواف ZICAR MF3000 — أربع عمليات</strong></p><p><strong>المرجع:</strong> ZICAR MF3000.</p><p>ماكينة مكتبية لتلبيس حواف الألواح وMDF. تجمع أربعة أعمال: <strong>اللصق والقص والتشذيب والتنظيف/التلميع</strong>. يمكن استعمالها مع الحواف المستقيمة أو المنحنية عندما تكون الحافة واللوح والإعدادات متوافقة.</p><p><strong>المواصفات الظاهرة والمقارنة:</strong> تغذية 220 فولت / 50–60 هرتز، قدرة إجمالية 1200 واط، عرض الحافة الموضح 7–60 مم، سمك اللوح الموضح 10–60 مم، سرعة تغذية قابلة للضبط من 0 إلى 6 م/دقيقة، درجة تسخين قابلة للضبط من 120 إلى 200 درجة مئوية، سعة حوض الغراء 1000 مل، مدة التسخين المعلنة من 5 إلى 8 دقائق، وزن صافٍ معلن 46 كغ، وأبعاد موضحة 1070 × 490 × 490 مم.</p><p><strong>الوظائف:</strong> لصق الحافة، القص من الطرف، تشذيب الحافة والتنظيف/التلميع للحصول على تشطيب نظيف لألواح النجارة. يجب ضبط الإعدادات حسب نوع الحافة وسمك اللوح والغراء المستعمل.</p><p><strong>تنبيه:</strong> تم أخذ المواصفات من الصور المقدمة ومن مقارنة إعداد 1200 واط. يجب التأكد من الدليل والجهد والغراء ودرجة الحرارة والسرعة والإعدادات قبل الاستعمال. المنتج معروض حالياً بمخزون قدره صفر.</p></div>";;;https://cdn.converty.shop/images/cb2353ffab6669d17a901792da301304a2dd19ea5233331d5c15f85cbee7b2eb_lg.webp
Plaqueuse de chants automatique compacte à bac de colle — encollage et coupe;PLAQUEUSE-AUTOMATIQUE-COMPACTE-BAC-COLLE;Plaqueuse de chants et colle;1850.000;1500.000;0;"<h2>Plaqueuse de chants automatique compacte à bac de colle — encollage, pression et coupe</h2>
<p>Machine compacte destinée au placage de chants sur les panneaux de mobilier et de menuiserie. Elle permet d’alimenter le chant, d’appliquer la colle, de presser la bande contre le panneau et de réaliser la coupe ou la finition selon la configuration de la machine.</p>
<p>Les visuels montrent un dispositif d’encollage, des rouleaux de pression, un dispositif de coupe, un réglage de largeur, un plateau rotatif, une table d’extension, une commande de température et une pédale de commande. Cette configuration convient aux menuisiers, fabricants de meubles et ateliers qui recherchent une solution compacte pour le travail des chants.</p>
<p><strong>Dimensions indiquées sur les schémas fournis :</strong> environ 97 cm de longueur totale, 50 cm pour la machine, 86 cm de profondeur ou d’extension indiquée, 39 cm de hauteur de table et un plateau rotatif d’environ 41 cm. Ces mesures sont indicatives et doivent être contrôlées sur la machine réelle avant l’installation.</p>
<p>La machine est conçue pour travailler avec des bandes de chant adaptées au panneau et au type de colle utilisé. Avant la mise en service, vérifier la tension électrique, la puissance, la température de collage, la largeur et l’épaisseur admissibles du chant, le type de colle thermofusible compatible et le contenu exact des accessoires.</p>
<p><strong>Sécurité :</strong> installer la machine sur une surface stable, utiliser les rouleaux et dispositifs de protection, garder les mains éloignées des zones de coupe et des parties chaudes, porter des lunettes de protection et débrancher la machine avant tout réglage ou entretien.</p>
<p><strong>Disponibilité :</strong> ce produit est actuellement affiché avec un stock de 0 unité. Il est visible dans la boutique mais ne peut pas être commandé tant que le stock n’est pas réapprovisionné.</p>
<hr><h3>التفاصيل بالعربية</h3><div dir=""rtl"" lang=""ar""><p><strong>ماكينة تلصيق حواف أوتوماتيكية مدمجة مع حوض غراء — تلصيق وضغط وقص الحواف</strong>، ماكينة مخصصة لتركيب شرائط الحواف على ألواح الأثاث والنجارة. تسمح بتغذية شريط الحافة ووضع الغراء وضغط الشريط على اللوح وإنجاز القص أو التشطيب حسب إعداد الماكينة.</p><p>تظهر الصور جهاز وضع الغراء، وبكرات الضغط، وجهاز القص، وضبط العرض، وصينية دوارة، وطاولة تمديد، ووحدة للتحكم في الحرارة ودواسة تشغيل. تناسب هذه configuration النجارين وصانعي الأثاث والورش التي تحتاج إلى حل مدمج لتلصيق حواف الألواح.</p><p><strong>الأبعاد المكتوبة في المخططات المرفقة:</strong> حوالي 97 سم للطول الإجمالي، و50 سم للماكينة، و86 سم للعمق أو الامتداد الموضح، و39 سم لارتفاع الطاولة، وصينية دوارة بحوالي 41 سم. هذه القياسات تقريبية ويجب التأكد منها على الماكينة الحقيقية قبل التركيب.</p><p>صممت الماكينة للعمل مع شرائط حواف مناسبة للوح ونوع الغراء المستعمل. قبل التشغيل، يجب التأكد من الجهد والقدرة ودرجة حرارة الغراء وعرض وسماكة شريط الحافة ونوع الغراء الحراري المتوافق ومحتوى الملحقات.</p><p><strong>السلامة:</strong> ثبّت الماكينة على سطح مستقر، واستعمل بكرات وأجهزة الحماية، وأبعد اليدين عن مناطق القص والأجزاء الساخنة، وارتدِ نظارات واقية وافصل الكهرباء قبل أي تعديل أو صيانة.</p><p><strong>التوفر:</strong> يظهر هذا المنتج حالياً بمخزون قدره 0 وحدة. يبقى ظاهراً في المتجر لكنه غير قابل للطلب إلى حين تجديد المخزون.</p></div>";;;https://cdn.converty.shop/images/9a2043373adb15f1149ce5fae0e50aea6275a6eaf8549e15f48976bc1d40888e_lg.webp
Table de sciage coulissante multifonctionnelle WJ160A pour menuiserie;TABLE-SCIAGE-WJ160A-MULTIFONCTION;Plaqueuse de chants et colle;7500.000;6000.000;1;"<div class=""ck-content""><h2>Table de sciage coulissante multifonctionnelle WJ160A pour menuiserie</h2>
<p>Station de travail multifonctionnelle destinée aux ateliers de menuiserie et aux artisans qui travaillent les panneaux et les pièces en bois. Sa conception comprend une table de sciage coulissante avec chariot de poussée, des rallonges, une règle télescopique, un presseur, des supports réglables et des roulettes pour faciliter le déplacement et la mise à niveau de l’ensemble.</p>
<p>Les visuels montrent également des emplacements ou ouvertures prévus pour intégrer des équipements complémentaires de menuiserie, notamment une machine de sciage, une plaqueuse de chants et une défonceuse selon la configuration choisie. La table peut ainsi servir de base d’organisation pour plusieurs opérations de débit, de guidage et de finition des panneaux.</p>
<p><strong>Fonctions visibles :</strong> sciage sur table coulissante, guidage et poussée du panneau, rallonges latérales, règle de mesure, presseur, supports sur roulettes, pieds réglables et structure pliable ou démontable selon le montage. Une fiche du modèle WJ160A annonce une puissance de 2 600 W et une profondeur de coupe de 50 mm ; ces données doivent impérativement être vérifiées sur la plaque signalétique et la notice de l’unité vendue avant utilisation.</p>
<p>La machine convient aux travaux de menuiserie, d’agencement et de préparation de panneaux, sous réserve de respecter la compatibilité des accessoires installés. Avant la mise en service, contrôler la tension électrique, la puissance, le diamètre et la vitesse de la lame, la profondeur de coupe, la fixation des extensions et le bon verrouillage des guides.</p>
<p><strong>Sécurité :</strong> fixer la machine sur une surface stable, utiliser les protections de lame et le presseur, maintenir les mains à distance de la zone de coupe, porter des lunettes et une protection auditive, et débrancher la machine avant tout réglage ou changement d’accessoire. Le contenu exact des modules et accessoires doit être vérifié avant la commande.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>طاولة منشار منزلقة متعددة الوظائف WJ160A للنجارة</strong>، محطة عمل متعددة الوظائف مخصصة لورش النجارة والحرفيين الذين يعملون على ألواح الخشب وقطع الأثاث. تحتوي على طاولة منشار منزلقة مع عربة دفع، وامتدادات جانبية، ومسطرة تلسكوبية، وضاغط، ودعامات قابلة للضبط وعجلات لتسهيل الحركة وتسوية الطاولة.</p>
<p>تظهر الصور أيضاً أماكن أو فتحات مخصصة لتركيب معدات إضافية للنجارة، مثل آلة النشر، وماكينة تلصيق الحواف، وجهاز الفريزة، حسب الإعداد المختار. يمكن استعمال الطاولة كقاعدة لتنظيم عمليات تقطيع الألواح وتوجيهها وتشطيبها.</p>
<p><strong>الوظائف الظاهرة:</strong> النشر على طاولة منزلقة، توجيه ودفع اللوح، امتدادات جانبية، مسطرة قياس، ضاغط، دعامات بعجلات، أرجل قابلة للتعديل وهيكل قابل للطي أو الفك حسب طريقة التركيب. تذكر إحدى fiches الخاصة بنموذج WJ160A قدرة 2600 واط وعمق قطع 50 مم، ولكن يجب التأكد من هذه البيانات من لوحة البيانات ودليل استعمال الوحدة المباعة قبل التشغيل.</p>
<p>تناسب الماكينة أعمال النجارة والتجهيز وتحضير الألواح، مع ضرورة احترام توافق الملحقات المركبة. قبل التشغيل، تحقق من الجهد والقدرة وقطر وسرعة الشفرة وعمق القطع وتثبيت الامتدادات وقفل الأدلة بشكل صحيح.</p>
<p><strong>السلامة:</strong> ثبّت الماكينة على سطح مستقر، واستعمل واقيات الشفرة والضاغط، وأبعد اليدين عن منطقة القطع، وارتدِ نظارات واقية ووسيلة حماية للسمع، وافصل الكهرباء قبل أي تعديل أو تغيير للملحقات. يجب التأكد من محتوى الوحدات والملحقات قبل الطلب.</p>
</div></div>";;;https://cdn.converty.shop/images/46d026ec4d040c7109f07856a12e5aece5e1af182fd3425b589dbbfa4f5f54f8_lg.webp
Plaqueuse de chants portable à bac de colle — machine d’encollage pour panneaux;PLAQUEUSE-CHANTS-PORTABLE-BAC-COLLE;Plaqueuse de chants et colle;1250.000;1050.000;1;"<h2>Plaqueuse de chants portable à bac de colle — machine d’encollage pour panneaux</h2>
<p>Machine compacte de placage de chants conçue pour appliquer de la colle et poser des bandes de chant sur les panneaux de mobilier et de menuiserie. Elle convient aux ateliers, menuisiers et artisans qui souhaitent plaquer les chants de panneaux MDF, mélaminés, agglomérés et matériaux similaires avec une machine plus compacte qu’une plaqueuse industrielle.</p>
<p>La machine est équipée d’un bac de colle chauffant, d’un système d’avance du chant, de rouleaux de pression et de réglages permettant d’adapter le travail au panneau et à la bande utilisée. Les images montrent également un plateau de travail, une commande de température, une poignée de maintien et des accessoires de réglage et de finition.</p>
<p><strong>Caractéristiques visibles :</strong> dimensions indicatives d’environ 36 × 40 × 37 cm, bac de colle, rouleaux de guidage et de pression, plateau de travail, commande numérique et accessoires de finition. Les dimensions, la puissance, la tension d’alimentation, la plage d’épaisseur du chant et le type de colle compatible doivent être confirmés sur la plaque signalétique et la notice de la machine avant utilisation.</p>
<p>Elle peut être utilisée pour le placage de chants droits sur des panneaux de meubles, portes, étagères et éléments d’agencement. Toujours faire un essai sur une chute de panneau, régler la température et la vitesse selon la colle et le matériau, maintenir les mains éloignées des pièces chaudes et porter les équipements de protection nécessaires.</p>
<p><strong>Important :</strong> la machine est vendue comme une unité complète selon le contenu visible et disponible. Vérifier le contenu des accessoires, la tension électrique locale, le type de colle accepté et les réglages de chant avant la mise en service.</p>
<hr><h3>التفاصيل بالعربية</h3><div dir=""rtl"" lang=""ar""><p><strong>ماكينة تلصيق حواف محمولة مع حوض غراء — لتلصيق حواف الألواح</strong>، ماكينة مدمجة مخصصة لوضع الغراء وتركيب شرائط الحواف على ألواح الأثاث والنجارة. تناسب الورش والنجارين والحرفيين الذين يريدون تلصيق حواف ألواح MDF والميلامين والخشب المضغوط والمواد المشابهة باستعمال ماكينة مدمجة مقارنة بالماكينات الصناعية الكبيرة.</p><p>تحتوي الماكينة على حوض غراء ساخن، ونظام لتقدم شريط الحافة، وبكرات ضغط، وإعدادات تساعد على تكييف العمل مع اللوح والشريط المستعمل. تظهر الصور أيضاً طاولة عمل، ووحدة تحكم في الحرارة، ومقبضاً للتثبيت، وملحقات للضبط والتشطيب.</p><p><strong>المواصفات الظاهرة:</strong> أبعاد تقريبية 36 × 40 × 37 سم، حوض غراء، بكرات توجيه وضغط، طاولة عمل، شاشة أو وحدة تحكم رقمية وملحقات للتشطيب. يجب التأكد من الأبعاد والقدرة الكهربائية والجهد وسماكة شريط الحافة ونوع الغراء المتوافق من لوحة البيانات ودليل الاستعمال قبل التشغيل.</p><p>يمكن استعمالها لتلصيق الحواف المستقيمة على ألواح الأثاث والأبواب والرفوف وعناصر التجهيز. يجب تجربة الماكينة أولاً على قطعة غير ظاهرة، وضبط الحرارة والسرعة حسب نوع الغراء والمادة، وإبعاد اليدين عن الأجزاء الساخنة واستعمال وسائل الحماية اللازمة.</p><p><strong>مهم:</strong> تباع الماكينة كوحدة واحدة حسب المحتوى الظاهر والمتوفر. يجب التأكد من الملحقات والجهد الكهربائي المحلي ونوع الغراء المقبول وإعدادات الحواف قبل التشغيل.</p></div>";;;https://cdn.converty.shop/images/358c6c7d6d4c8c976dd8d4641218f294bfedaca707f0612e7af188b45a0d1d3c_lg.webp
Fraise à percer CMT Orange Tools — 309.060.12 LH;CMT-309-060-12;Multibroche CMT;67.500;;0;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.060.12 LH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version LH est prévue pour une rotation à gauche.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.060.12 ; rotation gauche LH ; diamètre de coupe D : 6 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.060.12 LH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع LH مخصص للدوران إلى اليسار.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.060.12؛ دوران يساري LH؛ قطر القطع D: 6 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/1a0fbc4c4b449f4973107ea79304910dc4acadcc29c3caa89f3f5ec1d8026ab1_lg.webp
Fraise à percer CMT Orange Tools — 309.060.11 RH;CMT-309-060-11;Multibroche CMT;67.500;;0;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.060.11 RH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version RH est prévue pour une rotation à droite.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.060.11 ; rotation droite RH ; diamètre de coupe D : 6 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.060.11 RH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع RH مخصص للدوران إلى اليمين.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.060.11؛ دوران يميني RH؛ قطر القطع D: 6 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/1a0fbc4c4b449f4973107ea79304910dc4acadcc29c3caa89f3f5ec1d8026ab1_lg.webp
Fraise à percer CMT Orange Tools — 309.150.12 LH;CMT-309-150-12;Multibroche CMT;112.000;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.150.12 LH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version LH est prévue pour une rotation à gauche.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.150.12 ; rotation gauche LH ; diamètre de coupe D : 15 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.150.12 LH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع LH مخصص للدوران إلى اليسار.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.150.12؛ دوران يساري LH؛ قطر القطع D: 15 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/8bcb21eba6a32329958e7d9afeecc376fa34e57143245aee187c93d889e16504_lg.webp
Fraise à percer CMT Orange Tools — 309.150.11 RH;CMT-309-150-11;Multibroche CMT;112.500;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.150.11 RH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version RH est prévue pour une rotation à droite.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.150.11 ; rotation droite RH ; diamètre de coupe D : 15 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.150.11 RH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع RH مخصص للدوران إلى اليمين.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.150.11؛ دوران يميني RH؛ قطر القطع D: 15 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/f7269fd84db32fc3037beead41bc10c71812dd25e071cfa1e7eb554acaf4dd29_lg.webp
Fraise à percer CMT Orange Tools — 309.100.12 LH;CMT-309-100-12;Multibroche CMT;75.500;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.100.12 LH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version LH est prévue pour une rotation à gauche.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.100.12 ; rotation gauche LH ; diamètre de coupe D : 10 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.100.12 LH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع LH مخصص للدوران إلى اليسار.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.100.12؛ دوران يساري LH؛ قطر القطع D: 10 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/2bb3dd845af62e1b0307bcc357e6feb6989d16b358e52f1be4bc2ff02cb3cd34_lg.webp
Fraise à percer CMT Orange Tools — 309.100.11 RH;CMT-309-100-11;Multibroche CMT;76.800;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.100.11 RH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version RH est prévue pour une rotation à droite.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.100.11 ; rotation droite RH ; diamètre de coupe D : 10 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.100.11 RH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع RH مخصص للدوران إلى اليمين.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.100.11؛ دوران يميني RH؛ قطر القطع D: 10 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/f78b3cb808a3fc6c406de894cb8af77f209b7849bb36deea8b5d87256215e8a2_lg.webp
Fraise à percer CMT Orange Tools — 309.080.12 LH;CMT-309-080-12;Multibroche CMT;68.800;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.080.12 LH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version LH est prévue pour une rotation à gauche.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.080.12 ; rotation gauche LH ; diamètre de coupe D : 8 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.080.12 LH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع LH مخصص للدوران إلى اليسار.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.080.12؛ دوران يساري LH؛ قطر القطع D: 8 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/09b3928ab7792ef3144b2af5bc8147c17513474024445682e070a0a04f5e27c5_lg.webp
Fraise à percer CMT Orange Tools--309.080.11 — RH;CMT-309-080-11;Multibroche CMT;68.800;;1;"<div class=""ck-content""><p>Fraise à percer CMT Orange Tools — 309.080.11 RH</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Fraise de perçage professionnelle pour travaux de menuiserie et perçage précis dans le bois et les panneaux. Cette version RH est prévue pour une rotation à droite.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 309.080.11 ; rotation droite RH ; diamètre de coupe D : 8 mm ; hauteur de coupe I : 43 mm ; longueur totale L : 70 mm ; queue S : 10 × 20 mm.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر احترافية CMT Orange Tools — 309.080.11 RH</p><p>&nbsp;</p><p>ريشة مخصصة لأعمال النجارة والحفر الدقيق في الخشب والألواح. هذا النوع RH مخصص للدوران إلى اليمين.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 309.080.11؛ دوران يميني RH؛ قطر القطع D: 8 مم؛ ارتفاع القطع I: 43 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: 10 × 20 مم.</p><p>&nbsp;</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/7d64aeeb541a014b27e685e803b1b50353cdb22fa3872f5e7f81a59cc831689f_lg.webp
Fraise à percer pour charnières CMT 369.350.12--LH;CMT-369-350-12;Multibroche CMT;137.500;;1;"<div class=""ck-content""><p>Fraise à percer pour charnières CMT Orange Tools — 369.350.12</p><p>&nbsp;</p><p>DESCRIPTION — FRANÇAIS</p><p>Cette fraise industrielle est conçue pour réaliser des logements propres à fond plat destinés aux charnières invisibles de mobilier. Elle convient aux travaux de menuiserie et d’agencement lorsque la référence et le sens de rotation correspondent au montage utilisé.</p><p>&nbsp;</p><p>Caractéristiques techniques : référence 369.350.12 ; diamètre de coupe D : 35 mm ; longueur totale L : 70 mm ; queue S : diamètre 10 mm × longueur 26 mm ; rotation gauche LH / antihoraire ; géométrie Z2 avec 2 tranchants au carbure et 2 pointes négatives V2.</p><p>&nbsp;</p><p>الوصف — العربية</p><p>ريشة حفر مفصلات الأثاث CMT Orange Tools — 369.350.12</p><p>&nbsp;</p><p>صُممت هذه الريشة الصناعية لإنجاز تجاويف نظيفة ذات قاع مسطح للمفصلات المخفية المستعملة في الأثاث. وهي مناسبة لأعمال النجارة والتجهيز عندما يتوافق المرجع واتجاه الدوران مع طريقة التركيب.</p><p>&nbsp;</p><p>المواصفات التقنية: المرجع 369.350.12؛ قطر القطع D: 35 مم؛ الطول الإجمالي L: 70 مم؛ الساق S: قطر 10 مم × طول 26 مم؛ دوران يساري LH / عكس اتجاه عقارب الساعة؛ هندسة Z2 مع حافتَي قطع من الكربيد ونقطتين سلبيتين V2.</p><p>&nbsp;</p><p>&nbsp;</p></div>";;;https://cdn.converty.shop/images/952d7281f1f4bbd1998272fc7725c29121ee8f9315efeda5eb7a31c7ebc24996_lg.webp
